Name,Quantity,Measurement,Ingredient
drunken noodles,1/3,c,soy sauce
drunken noodles,3,T,oyster sauce
drunken noodles,1,T,fish sauce
drunken noodles,2,t,maple syrup
drunken noodles,2,T,sesame oil
drunken noodles,1,block,tofu
drunken noodles,2,,onion
drunken noodles,3,cloves,garlic
drunken noodles,2,,jalapenos
drunken noodles,4,,green onions
drunken noodles,1,,zucchini
drunken noodles,1,,red bell pepper
drunken noodles,1,bag,matchstick carrots
drunken noodles,1,cup,Thai basil
spicy tofu & brussels,1,block,tofu
spicy tofu & brussels,2,T,sesame oil
spicy tofu & brussels,1,bell,pepper
spicy tofu & brussels,1/4,lb,sprouts
spicy tofu & brussels,2,T,cilantro
spicy tofu & brussels,1/4,c,peanuts
spicy tofu & brussels,2,t,sesame seeds
spicy tofu & brussels,3,T,soy sauce
spicy tofu & brussels,1,1/2,T maple syrup
spicy tofu & brussels,1,T,lime juice
zucchini stir fry,1,block,tofu
zucchini stir fry,4,cloves,garlic
zucchini stir fry,2,zucchini,
zucchini stir fry,3,c,carrots
zucchini stir fry,1,bell,pepper
zucchini stir fry,2,T,sesame oil
zucchini stir fry,2,T,soy sauce
zucchini stir fry,1/2,t,ginger powder
zucchini stir fry,1,T,rice vinegar
zucchini stir fry,2,t,cornstarch
hot and sour soup,2,c,broth
hot and sour soup,1,c,water
hot and sour soup,1/2,block,tofu
hot and sour soup,4,oz,bamboo shoots
hot and sour soup,3,T,soy sauce
hot and sour soup,3,T,rice vinegar
hot and sour soup,1,T,hoisin
hot and sour soup,1/2,t,chili garlic
hot and sour soup,1/8,t,white pepper
hot and sour soup,3,T,cornstarch
hot and sour soup,3,T,water
mediterranean bowl,1/4,c,quinoa
mediterranean bowl,1/2,c,spinach
mediterranean bowl,1/4,c,cherry tomato
mediterranean bowl,1/4,English,cucumber
mediterranean bowl,1/4,c,chickpeas
mediterranean bowl,2,T,olives
mediterranean bowl,,,parsley
mediterranean bowl,2,T,hummus
shepherds pie,3,,potatoes
shepherds pie,4,cloves,garlic
shepherds pie,1/2,c,milk
shepherds pie,2,T,butter
shepherds pie,1/2,t,salt
shepherds pie,1/2,t,pepper
shepherds pie,1,T,oil
shepherds pie,1,,carrot
shepherds pie,2,,celery
shepherds pie,1/2,,onion
shepherds pie,2,cloves,garlic
shepherds pie,1,c,lentils
shepherds pie,1 3/4,c, vegetable broth
sushi,2,c,uncooked rice
sushi,1/4,c,soy sauce
sushi,2,T,maple syrup
sushi,1,T,cornstarch
sushi,1/2,t,ginger
sushi,1,t,garlic
sushi,2,T,water
sushi,1,T,sesame oil
sushi,1/2,block,tofu
sushi,1,carrot,
sushi,1/2,cucumber,
sushi,1,avocado,
sushi,Nori,sheets,
sushi,2,T,rice vinegar
sushi,2,T,white wine vinegar
buffalo wraps,1,block,extra firm tofu
buffalo wraps,1/2,c,buffalo sauce
buffalo wraps,,,cornstarch
buffalo wraps,,,tortillas
buffalo wraps,,,lettuce
buffalo wraps,,,pickles
chickpea stew,1,T,oil
chickpea stew,1,red,onion
chickpea stew,2,cloves,garlic
chickpea stew,1/2,finger,ginger
chickpea stew,2,red,chilies
chickpea stew,1/2,t,turmeric
chickpea stew,3/4,t,garam masala
chickpea stew,1,t,cumin
chickpea stew,4,"tomatoes,",chopped
chickpea stew,2,t,tomato puree
chickpea stew,1,can,chickpeas
chickpea stew,200,g,spinach
noah ramen,1,block,tofu
noah ramen,,,ramen noodles
noah ramen,,,ramen broth
noah ramen,,,sage
noah ramen,,,curry powder
noah ramen,,,cayenne
noah ramen,,,cornstarch
noah ramen,,,sesame,seeds
noah ramen,,,bok choy
noah ramen,,,spinach
noah ramen,,,matchstick carrots
noah ramen,,,onion
chickpea salad wrap,2,(15,oz) cans chickpeas
chickpea salad wrap,1,c,chopped celery
chickpea salad wrap,4,T,chopped onion
chickpea salad wrap,6,T,chopped pickle
chickpea salad wrap,2,T,"dill, minced"
chickpea salad wrap,2,cloves,garlic
chickpea salad wrap,1,t,mustard
chickpea salad wrap,4,T,lemon juice
chickpea salad wrap,1/2,c,sunflower seeds
chickpea salad wrap,4,wraps,
baked spaghetti,1,block,silken tofu
baked spaghetti,1/4,c,lime juice
baked spaghetti,1/4,c,nutritional yeast
baked spaghetti,3,T,olive oil
baked spaghetti,1,t,salt
baked spaghetti,1/4,t,onion powder
baked spaghetti,1/4,t,garlic powder
baked spaghetti,1/4,t,pepper
baked spaghetti,16,oz,spaghetti
baked spaghetti,8,oz,bella mushrooms
baked spaghetti,3,T,olive oil
baked spaghetti,3-4,oz,spinach
baked spaghetti,24,oz,marinara
baked spaghetti,3/4,c,lentils
baked spaghetti,1/4,t,red pepper
baked spaghetti,1/4,c,cornstarch
baked spaghetti,3,T,water
lebanese stew,5,cloves,garlic
lebanese stew,1,T,cumin
lebanese stew,2,T,olive oil
lebanese stew,2,T,tomato paste
lebanese stew,1,t,paprika
lebanese stew,3,c,chickpeas
lebanese stew,2-3,T,za’atar
lebanese stew,2-3,bay,leaves
lebanese stew,1,bell,pepper
lebanese stew,salt,and,parsley
falafel,2,(15,oz) cans chickpeas
falafel,8,cloves,garlic
falafel,4,T,raw cashews
falafel,3/4,c,parsley
falafel,1,T,cumin
falafel,1/2,t,salt
falafel,3-6,T,flour
hummus,15,oz,chickpeas
hummus,1/4,c,lemon juice
hummus,1/4,c,tahini
hummus,1,clove,garlic
hummus,2,T,olive oil
hummus,1/2,t,cumin
hummus,,,salt
hummus,2-3,T,water/aquafaba
hummus,,,paprika
quinoa casserole,1,c,"quinoa, uncooked"
quinoa casserole,2,t,garlic powder
quinoa casserole,1,t,red pepper
quinoa casserole,1/2,t,paprika
quinoa casserole,1/2,c,nutritional yeast
quinoa casserole,2,c,broth
quinoa casserole,1/2,c,cashews
quinoa casserole,3,c,broccoli
quinoa crusted tofu parm,2,blocks,extra firm tofu
quinoa crusted tofu parm,1,c,flour
quinoa crusted tofu parm,1,t,salt/pepper
quinoa crusted tofu parm,1,t,Italian seasoning
quinoa crusted tofu parm,1,c,milk
quinoa crusted tofu parm,4,c,cooked quinoa
quinoa crusted tofu parm,1,c,tomato sauce
quinoa crusted tofu parm,,,basil
quinoa crusted tofu parm,cashew,sauce,
quinoa crusted tofu parm,1,c,cashews
quinoa crusted tofu parm,1/2,c,water
quinoa crusted tofu parm,juice,from,1/2 lemon
quinoa crusted tofu parm,1,t,apple cider vinegar
quinoa crusted tofu parm,1/4,c,nutritional yeast
quinoa crusted tofu parm,1,clove,garlic
broccoli potato soup,1,onion,
broccoli potato soup,3,cloves,garlic
broccoli potato soup,2,lb,potatoes
broccoli potato soup,3,T,olive oil
broccoli potato soup,4,c,vegetable broth
broccoli potato soup,1/2,c,cashews or 1 can chickpeas
broccoli potato soup,1,t,salt
broccoli potato soup,1,lb,broccoli
broccoli potato soup,1,large,carrot
broccoli potato soup,1,t,thyme
broccoli potato soup,3/4,t,dill
broccoli potato soup,2,t,white wine vinegar
broccoli potato soup,1,t,mustard
lentil bolognese pasta,1/2,onion,
lentil bolognese pasta,4,cloves,garlic
lentil bolognese pasta,2,t,oregano
lentil bolognese pasta,1/2,salt/red,pepper
lentil bolognese pasta,2,T,tomato paste
lentil bolognese pasta,3,c,broth
lentil bolognese pasta,1,c,tomato sauce
lentil bolognese pasta,2,T,balsamic vinegar
lentil bolognese pasta,16,oz,pasta
lentil bolognese pasta,1,c,lentils
lentil bolognese pasta,6,c,broccoli
lentil bolognese pasta,4,T,nutritional yeast
slow cooker tempeh chili,630,g,tempeh
slow cooker tempeh chili,2,large,onions
slow cooker tempeh chili,4,large,carrots
slow cooker tempeh chili,1,bell,pepper
